time,adjusted_angle,formatted_angle,angle_var
0.0027,7.86071777,7.86,PY_VAR0
0.0523,7.86071777,7.86,PY_VAR0
0.102,7.86071777,7.86,PY_VAR0
0.217,7.86621094,7.87,PY_VAR0
0.2182,7.86621094,7.87,PY_VAR0
0.2523,7.8717041,7.87,PY_VAR0
0.3022,7.88269043,7.88,PY_VAR0
0.3523,7.95410156,7.95,PY_VAR0
0.4021,8.39355469,8.39,PY_VAR0
0.4523,11.49719238,11.50,PY_VAR0
0.5024,15.45227051,15.45,PY_VAR0
0.5522,18.2208252,18.22,PY_VAR0
0.6023,20.85205078,20.85,PY_VAR0
0.6523,23.12072754,23.12,PY_VAR0
0.7023,25.12573242,25.13,PY_VAR0
0.7523,26.9934082,26.99,PY_VAR0
0.8022,28.45458984,28.45,PY_VAR0
0.8523,29.8223877,29.82,PY_VAR0
0.9023,31.0748291,31.07,PY_VAR0
0.9522,32.6348877,32.63,PY_VAR0
1.0024,34.73327637,34.73,PY_VAR0
1.0522,37.2052002,37.21,PY_VAR0
1.1022,39.77600098,39.78,PY_VAR0
1.1523,41.96228027,41.96,PY_VAR0
1.2029,43.82446289,43.82,PY_VAR0
1.2522,45.68664551,45.69,PY_VAR0
1.3022,47.1697998,47.17,PY_VAR0
1.3522,48.3782959,48.38,PY_VAR0
1.4022,49.94384766,49.94,PY_VAR0
1.4522,51.24023437,51.24,PY_VAR0
1.5022,52.48168945,52.48,PY_VAR0
1.5521,54.09667969,54.10,PY_VAR0
1.6021,55.8380127,55.84,PY_VAR0
1.6522,58.16162109,58.16,PY_VAR0
1.7021,60.78735352,60.79,PY_VAR0
1.7521,63.87451172,63.87,PY_VAR0
1.802,66.79138184,66.79,PY_VAR0
1.852,68.32397461,68.32,PY_VAR0
1.902,68.79638672,68.80,PY_VAR0
1.952,68.89526367,68.90,PY_VAR0
2.0022,68.93371582,68.93,PY_VAR0
2.052,69.23583984,69.24,PY_VAR0
2.102,70.64208984,70.64,PY_VAR0
2.1522,72.86682129,72.87,PY_VAR0
2.202,74.8059082,74.81,PY_VAR0
2.252,76.04736328,76.05,PY_VAR0
2.302,76.69555664,76.70,PY_VAR0
2.352,77.06359863,77.06,PY_VAR0
2.4027,77.16247559,77.16,PY_VAR0
2.452,77.21740723,77.22,PY_VAR0
2.502,77.21740723,77.22,PY_VAR0
