Time,Angle
1724627473.5568104,336.51672363
1724627473.6569996,336.53869629
1724627473.7576046,336.53869629
1724627473.8577545,336.54418945
1724627473.9579496,336.53320313
1724627474.0581205,336.53320313
1724627474.158277,336.53320313
1724627474.2584321,336.52770996
1724627474.358584,336.51123047
1724627474.458804,336.49475098
1724627474.559012,336.48925781
1724627474.6592197,336.5222168
1724627474.759432,336.56616211
1724627474.8595784,336.98364258
1724627474.9597287,349.10705566
1724627475.0599425,358.11584473
1724627475.1600997,364.36706543
1724627475.2613134,372.0135498
1724627475.3614614,377.70996094
1724627475.4616337,383.40087891
1724627475.5618048,384.51049805
1724627475.661952,385.41137695
1724627475.76211,387.44934082
1724627475.8622522,392.39868164
1724627475.96241,397.58972168
